company_code,company_name,report_year,document_type,source_url,retrieval_url,local_path,sha256,size
000009.SZ,中国宝安,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/3d0cad8e-7fd7-4c96-9879-a7692046036f.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/3d0cad8e-7fd7-4c96-9879-a7692046036f.PDF,data/raw/000009.SZ/2025/annual_report.pdf,a72585593e269cc1d4ea07f7fe4199e405ab2f6f64a470344fedfbd642b221d4,1712233
000009.SZ,中国宝安,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/b002da8f-bdb7-4e8a-8eac-9ae9915cf23e.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/b002da8f-bdb7-4e8a-8eac-9ae9915cf23e.PDF,data/raw/000009.SZ/2025/esg_report.pdf,dd00fd3543b65052d9a87dd1b51c815214e8c6063484e2f1369447ddddcc740b,32548625
00002.HK,CLP HOLDINGS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/hkex_reports/00002.HK/2025/annual_report.pdf,23502639642536e08428a3662729a87c69490d9ea241ac5373817fe49f2afe55,23951688
000027.SZ,深圳能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF,data/raw/000027.SZ/2025/annual_report.pdf,f44dd074f730046eb6775e90b183ebc5b625de3aa6a34ef6f78f35fbef7780ba,8396766
000027.SZ,深圳能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/6f7301c7-7dd9-417b-8c1d-c8e32fe5ab83.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/6f7301c7-7dd9-417b-8c1d-c8e32fe5ab83.PDF,data/raw/000027.SZ/2025/esg_report.pdf,ee35ef2f1a9d2cd6c3275b3e3a1c60951ea0b83adab46e962e5c1c8a7277e07b,72767284
00003.HK,HK & CHINA GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,data/raw/00003.HK/2025/annual_report.pdf,ee06bb6c48f34d3a3dd3cb568ab224ec98115b9aca9ec4f2095000906e5ca67f,32526596
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf,data/raw/hkex_reports/00003.HK/2025/esg_report.pdf,b52554fbd06fc83351803b4bd80a6c7fba0495cce1a962092ef7ab01559bb03c,30185976
000037.SZ,深南电A,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/ab7b9153-90c7-417a-8a30-591e987fe1b4.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/ab7b9153-90c7-417a-8a30-591e987fe1b4.PDF,data/raw/000037.SZ/2025/annual_report.pdf,0119ae1bd0cf86167b0c945f2a0f661c0b5d782a1204766caeec34f85c29c28e,4113562
000049.SZ,德赛电池,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/262ee139-e059-4704-8501-654892e27e40.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/262ee139-e059-4704-8501-654892e27e40.PDF,data/raw/000049.SZ/2025/annual_report.pdf,b6cb989e6e3432cf3c82dcdf1ebb32df7293fe702b01b7b139ebba61c0c6291b,1035776
00006.HK,POWER ASSETS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100656.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100656.pdf,data/raw/hkex_reports/00006.HK/2025/annual_report.pdf,6ad234d47455253c90a1cfefea2c26f33b9aab4d554602e6fc31ea0da0647851,16529746
00006.HK,POWER ASSETS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100680.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100680.pdf,data/raw/hkex_reports/00006.HK/2025/esg_report.pdf,f2869d76e1d079cd51a70e3bbe0b4737b82f07fd506a2a99d3a09a378786d38f,48231365
