indicator_code,name,dimension,key_indicator,disclosed_companies,universe_companies,disclosure_rate_pct,gap_reason,next_action,download_blocker
Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,20,614,3.26,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,23,614,3.75,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,23,614,3.75,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_E_HAZ_WASTE_INTENSITY,危险固体废物排放强度,E,False,26,614,4.23,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_E_PM_INTENSITY,颗粒物排放强度,E,False,32,614,5.21,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_E_SOLID_WASTE_INTENSITY,一般固体废物排放强度,E,True,33,614,5.37,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_E_GHG_REDUCTION_RATE,温室气体减排率,E,False,35,614,5.7,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_E_NOX_INTENSITY,氮氧化物排放强度,E,True,35,614,5.7,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_E_WASTEWATER_INTENSITY,废水/污水排放强度,E,False,36,614,5.86,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_S_SAFETY_INVEST_RATE,安全生产投入占比,S,True,42,614,6.84,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_E_ENERGY_INTENSITY,综合能源消耗强度,E,True,52,614,8.47,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_S_ENV_INVEST_RATE,环保投入占比,S,False,53,614,8.63,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_E_WATER_INTENSITY,水资源使用强度,E,True,54,614,8.79,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_E_GHG_INTENSITY,温室气体排放强度,E,True,67,614,10.91,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_S_BENEFIT_PER_EMPLOYEE,员工福利、社保和公积金费用,S,False,83,614,13.52,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_S_EDU_PER_EMPLOYEE,工会和职工教育经费,S,False,94,614,15.31,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_S_PAY_PER_EMPLOYEE,员工薪酬,S,False,125,614,20.36,above_minimum_population_but_still_sparse_disclosure,issuer_website_and_rule_recall_for_high_impact_gaps,false
Q_G_OPERATING_PROFIT_GROWTH,营业利润增长率,G,False,237,614,38.6,coverage_acceptable_for_research,keep_monitoring,false
Q_G_CASH_CURRENT_LIABILITY,现金流动负债比率,G,False,247,614,40.23,coverage_acceptable_for_research,keep_monitoring,false
Q_G_EBITDA_MARGIN,EBITDA利润率,G,False,249,614,40.55,coverage_acceptable_for_research,keep_monitoring,false
Q_G_ROA,总资产报酬率,G,False,271,614,44.14,coverage_acceptable_for_research,keep_monitoring,false
Q_S_DONATION_RATE,社会公益投入占比,S,False,275,614,44.79,coverage_acceptable_for_research,keep_monitoring,false
Q_G_CASH_REALIZATION,营业收现率,G,False,289,614,47.07,coverage_acceptable_for_research,keep_monitoring,false
Q_G_COST_REVENUE_RATE,成本费用占营业收入比例,G,False,307,614,50.0,coverage_acceptable_for_research,keep_monitoring,false
Q_G_OPERATING_MARGIN,营业利润率,G,False,313,614,50.98,coverage_acceptable_for_research,keep_monitoring,false
Q_G_EBITDA_INTEREST,EBITDA利息倍数,G,False,352,614,57.33,coverage_acceptable_for_research,keep_monitoring,false
Q_G_QUICK_RATIO,速动比率,G,False,354,614,57.65,coverage_acceptable_for_research,keep_monitoring,false
Q_S_DIVIDEND_PER_SHARE,现金分红,S,True,379,614,61.73,coverage_acceptable_for_research,keep_monitoring,false
Q_G_TWO_FUNDS_RATE,两金占流动资产比例,G,False,385,614,62.7,coverage_acceptable_for_research,keep_monitoring,false
Q_G_CURRENT_ASSET_TURNOVER,流动资产周转率,G,False,387,614,63.03,coverage_acceptable_for_research,keep_monitoring,false
Q_G_CAPITAL_ACCUMULATION,资本积累率,G,False,390,614,63.52,coverage_acceptable_for_research,keep_monitoring,false
Q_G_AR_TURNOVER,应收账款周转率,G,False,448,614,72.96,coverage_acceptable_for_research,keep_monitoring,false
Q_G_ASSET_TURNOVER,总资产周转率,G,False,470,614,76.55,coverage_acceptable_for_research,keep_monitoring,false
Q_S_RD_RATE,研发费用占比,S,True,478,614,77.85,coverage_acceptable_for_research,keep_monitoring,false
Q_G_DEBT_ASSET_RATE,资产负债率,G,True,526,614,85.67,coverage_acceptable_for_research,keep_monitoring,false
Q_G_REVENUE_GROWTH,营业增长率,G,False,553,614,90.07,coverage_acceptable_for_research,keep_monitoring,false
Q_G_ROE,净资产收益率,G,False,576,614,93.81,coverage_acceptable_for_research,keep_monitoring,false
