company_code,company_name,rank,top200,annual_status,esg_status,missing_key_count,missing_key_weight_sum,missing_key_codes,missing_key_names,next_action,scoring_authorized
01205.HK,CITIC RESOURCES,216,false,collected,collected,10,38.01,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_NOX_INTENSITY|Q_E_SO2_INTENSITY|Q_E_WATER_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE,温室气体排放强度|综合能源消耗强度|氮氧化物排放强度|二氧化硫排放强度|水资源使用强度|一般固体废物排放强度|安全生产投入占比|研发费用占比|现金分红|资产负债率,rule_recall_on_existing_text,false
01811.HK,CGN NEW ENERGY,278,false,collected,collected,10,38.01,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_NOX_INTENSITY|Q_E_SO2_INTENSITY|Q_E_WATER_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE,温室气体排放强度|综合能源消耗强度|氮氧化物排放强度|二氧化硫排放强度|水资源使用强度|一般固体废物排放强度|安全生产投入占比|研发费用占比|现金分红|资产负债率,rule_recall_on_existing_text,false
01733.HK,E-COMMODITIES,306,false,collected,collected,10,38.01,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_NOX_INTENSITY|Q_E_SO2_INTENSITY|Q_E_WATER_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE,温室气体排放强度|综合能源消耗强度|氮氧化物排放强度|二氧化硫排放强度|水资源使用强度|一般固体废物排放强度|安全生产投入占比|研发费用占比|现金分红|资产负债率,rule_recall_on_existing_text,false
00951.HK,CHAOWEI POWER,314,false,collected,collected,10,38.01,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_NOX_INTENSITY|Q_E_SO2_INTENSITY|Q_E_WATER_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE,温室气体排放强度|综合能源消耗强度|氮氧化物排放强度|二氧化硫排放强度|水资源使用强度|一般固体废物排放强度|安全生产投入占比|研发费用占比|现金分红|资产负债率,rule_recall_on_existing_text,false
00639.HK,SHOUGANG RES,332,false,collected,embedded_in_annual,10,38.01,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_NOX_INTENSITY|Q_E_SO2_INTENSITY|Q_E_WATER_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE,温室气体排放强度|综合能源消耗强度|氮氧化物排放强度|二氧化硫排放强度|水资源使用强度|一般固体废物排放强度|安全生产投入占比|研发费用占比|现金分红|资产负债率,rule_recall_on_existing_text,false
01193.HK,CHINA RES GAS,334,false,collected,collected,10,38.01,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_NOX_INTENSITY|Q_E_SO2_INTENSITY|Q_E_WATER_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE,温室气体排放强度|综合能源消耗强度|氮氧化物排放强度|二氧化硫排放强度|水资源使用强度|一般固体废物排放强度|安全生产投入占比|研发费用占比|现金分红|资产负债率,rule_recall_on_existing_text,false
00866.HK,CHINA QINFA,371,false,collected,embedded_in_annual,10,38.01,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_NOX_INTENSITY|Q_E_SO2_INTENSITY|Q_E_WATER_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE,温室气体排放强度|综合能源消耗强度|氮氧化物排放强度|二氧化硫排放强度|水资源使用强度|一般固体废物排放强度|安全生产投入占比|研发费用占比|现金分红|资产负债率,rule_recall_on_existing_text,false
00975.HK,MONGOL MINING,375,false,collected,embedded_in_annual,10,38.01,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_NOX_INTENSITY|Q_E_SO2_INTENSITY|Q_E_WATER_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE,温室气体排放强度|综合能源消耗强度|氮氧化物排放强度|二氧化硫排放强度|水资源使用强度|一般固体废物排放强度|安全生产投入占比|研发费用占比|现金分红|资产负债率,rule_recall_on_existing_text,false
00003.HK,HK & CHINA GAS,397,false,collected,collected,10,38.01,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_NOX_INTENSITY|Q_E_SO2_INTENSITY|Q_E_WATER_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE,温室气体排放强度|综合能源消耗强度|氮氧化物排放强度|二氧化硫排放强度|水资源使用强度|一般固体废物排放强度|安全生产投入占比|研发费用占比|现金分红|资产负债率,rule_recall_on_existing_text,false
00384.HK,CHINA GAS HOLD,400,false,collected,collected,10,38.01,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_NOX_INTENSITY|Q_E_SO2_INTENSITY|Q_E_WATER_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE,温室气体排放强度|综合能源消耗强度|氮氧化物排放强度|二氧化硫排放强度|水资源使用强度|一般固体废物排放强度|安全生产投入占比|研发费用占比|现金分红|资产负债率,rule_recall_on_existing_text,false
